난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Gold IV,맞았습니다!!,116636,984,PyPy3,683,2022-04-16 12:38
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,컴파일 에러,,,Python 3,45,2022-04-16 12:38
Platinum II,이분 탐색/자료 구조/가장 긴 증가하는 부분 수열: O(n log n)/세그먼트 트리,17411,가장 긴 증가하는 부분 수열 6,Ruby V,맞았습니다!!,26216,828,C++17,1093,2022-04-16 12:38
Gold V,이분 탐색/정렬/두 포인터,2470,두 용액,Gold III,틀렸습니다,,,Python 3,463,2022-04-16 12:38
Silver V,유클리드 호제법/수학/정수론,2609,최대공약수와 최소공배수,Silver V,컴파일 에러,,,C++17,553,2022-04-16 12:38
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Gold IV,출력 초과,,,PyPy3,697,2022-04-16 12:38
Bronze III,구현/수학/문자열,1212,8진수 2진수,Gold III,틀렸습니다,,,C11,1440,2022-04-16 12:38
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Java 11,133,2022-04-16 12:38
Silver V,브루트포스 알고리즘/수학,2635,수 이어가기,Silver I,맞았습니다!!,22236,272,Java 11,955,2022-04-16 12:37
Bronze III,구현/수학,10818,"최소, 최대",Bronze II,맞았습니다!!,137352,672,node.js,310,2022-04-16 12:37
Gold III,다익스트라/그래프 이론,1238,파티,Gold IV,시간 초과,,,Python 3,645,2022-04-16 12:37
Bronze V,구현,10171,고양이,UNRANK,컴파일 에러,,,Python 3,67,2022-04-16 12:37
Silver III,브루트포스 알고리즘/수학/정수론,4375,1,UNRANK,틀렸습니다,,,Python 3,115,2022-04-16 12:37
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,맞았습니다!!,17752,208,Java 11,232,2022-04-16 12:37
Silver III,파싱/문자열,7656,만능 오라클,Silver I,틀렸습니다,,,Python 3,501,2022-04-16 12:37
Gold IV,다이나믹 프로그래밍,14863,서울에서 경산까지,UNRANK,100점,41740,36,C++17,792,2022-04-16 12:37
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,11724,연결 요소의 개수,Silver I,맞았습니다!!,5028,120,C++17,946,2022-04-16 12:37
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,UNRANK,맞았습니다!!,30840,112,Python 3,449,2022-04-16 12:37
Bronze I,구현/수학,1110,더하기 사이클,UNRANK,런타임 에러 (Segfault),,,C99,270,2022-04-16 12:37
Gold III,그래프 이론/최소 스패닝 트리/문자열,1414,불우이웃돕기,Diamond V,맞았습니다!!,2172,0,C++17,1360,2022-04-16 12:37
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver III,틀렸습니다,,,Python 3,95,2022-04-16 12:37
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,9280,120,node.js,68,2022-04-16 12:37
Gold IV,자료 구조/스택,17298,오큰수,Silver I,시간 초과,,,C++17,778,2022-04-16 12:37
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,맞았습니다!!,30840,72,Python 3,56,2022-04-16 12:37
Gold V,이분 탐색/정렬/두 포인터,2470,두 용액,Gold III,틀렸습니다,,,Python 3,468,2022-04-16 12:37
Gold I,자료 구조/세그먼트 트리/희소 배열,10868,최솟값,Platinum III,맞았습니다!!,63464,600,Java 8,2232,2022-04-16 12:37
Bronze V,사칙연산/구현/수학,2845,파티가 끝나고 난 뒤,Bronze III,맞았습니다!!,2020,0,C++17,250,2022-04-16 12:37
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,UNRANK,틀렸습니다,,,Python 3,901,2022-04-16 12:37
Silver III,백트래킹,15650,N과 M (2),UNRANK,맞았습니다!!,15488,132,Java 11,1105,2022-04-16 12:36
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,Not ratable,컴파일 에러,,,C++17,174,2022-04-16 12:36
Bronze III,구현/수학,11970,Fence Painting,UNRANK,맞았습니다!!,2020,0,C++17,521,2022-04-16 12:36
Platinum II,이분 탐색/자료 구조/가장 긴 증가하는 부분 수열: O(n log n)/세그먼트 트리,17411,가장 긴 증가하는 부분 수열 6,Ruby V,맞았습니다!!,26216,732,C++17,1071,2022-04-16 12:36
Bronze V,구현,10718,We love kriii,UNRANK,틀렸습니다,,,C#,153,2022-04-16 12:36
Bronze III,구현/수학,10818,"최소, 최대",Bronze II,틀렸습니다,,,node.js,310,2022-04-16 12:36
Silver V,유클리드 호제법/수학/정수론,2609,최대공약수와 최소공배수,Silver V,런타임 에러 (IndexError),,,Python 3,554,2022-04-16 12:36
Silver I,두 포인터,20922,겹치는 건 싫어,Platinum V,맞았습니다!!,51576,468,Kotlin (JVM),577,2022-04-16 12:36
Bronze IV,구현,9498,시험 성적,Gold V,맞았습니다!!,9328,168,TypeScript,210,2022-04-16 12:36
Silver III,다이나믹 프로그래밍,2579,계단 오르기,Silver I,틀렸습니다,,,Python 3,514,2022-04-16 12:36
Bronze I,사칙연산/수학,4344,평균은 넘겠지,Gold V,맞았습니다!!,5016,0,C++17,690,2022-04-16 12:36
Gold II,자료 구조/분리 집합/플로이드–와샬/그래프 이론/그래프 탐색,2610,회의준비,UNRANK,맞았습니다!!,30840,684,Python 3,1023,2022-04-16 12:36
Bronze V,구현,10718,We love kriii,UNRANK,틀렸습니다,,,Python 3,69,2022-04-16 12:36
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Gold IV,틀렸습니다,,,PyPy3,660,2022-04-16 12:36
Silver II,그리디 알고리즘/정렬,1931,회의실 배정,UNRANK,시간 초과,,,Python 3,837,2022-04-16 12:36
Bronze I,구현/정렬,2750,수 정렬하기,Silver V,맞았습니다!!,1112,0,C++17,268,2022-04-16 12:36
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,UNRANK,런타임 에러 (TypeError),,,Python 3,447,2022-04-16 12:36
Gold IV,백트래킹/브루트포스 알고리즘/구현,15684,사다리 조작,UNRANK,맞았습니다!!,117860,1808,PyPy3,2514,2022-04-16 12:36
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,UNRANK,런타임 에러 (NameError),,,Python 3,56,2022-04-16 12:36
Silver V,수학/정수론/소수 판정,2581,소수,Silver II,맞았습니다!!,30840,416,Python 3,384,2022-04-16 12:36
Bronze V,구현,10926,??!,UNRANK,틀렸습니다,,,Python 3,54,2022-04-16 12:35
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,UNRANK,런타임 에러 (TypeError),,,Python 3,444,2022-04-16 12:35
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,UNRANK,런타임 에러 (NameError),,,Python 3,901,2022-04-16 12:35
Bronze II,임의 정밀도 / 큰 수 연산/사칙연산/수학,5988,홀수일까 짝수일까,Silver I,맞았습니다!!,113112,128,PyPy3,119,2022-04-16 12:35
Bronze V,구현,10718,We love kriii,UNRANK,맞았습니다!!,30840,68,Python 3,69,2022-04-16 12:35
Bronze IV,구현,9498,시험 성적,Gold V,맞았습니다!!,9332,128,TypeScript,153,2022-04-16 12:35
Silver IV,이분 탐색/자료 구조,1920,수 찾기,Silver III,틀렸습니다,,,Python 3,294,2022-04-16 12:35
Silver III,브루트포스 알고리즘/수학/정수론,4375,1,UNRANK,틀렸습니다,,,Python 3,118,2022-04-16 12:35
Silver V,브루트포스 알고리즘/수학,2635,수 이어가기,Silver I,틀렸습니다,,,Java 11,923,2022-04-16 12:35
Bronze V,구현,10172,개,UNRANK,맞았습니다!!,13924,132,Java 11,289,2022-04-16 12:35
Bronze V,사칙연산/구현/수학,2845,파티가 끝나고 난 뒤,Bronze III,틀렸습니다,,,C++17,250,2022-04-16 12:35
Bronze III,사칙연산/수학,20674,Statistics,Gold I,맞았습니다!!,2020,0,C++17,193,2022-04-16 12:35
Bronze IV,사칙연산/수학,14173,Square Pasture,UNRANK,맞았습니다!!,2020,0,C++17,486,2022-04-16 12:35
Bronze V,구현,2557,Hello World,UNRANK,맞았습니다!!,30840,68,Python 3,21,2022-04-16 12:35
Silver V,조합론/다이나믹 프로그래밍/수학,16395,파스칼의 삼각형,Gold IV,맞았습니다!!,1116,0,C++17,278,2022-04-16 12:35
Bronze IV,구현/수학,2753,윤년,Silver V,맞았습니다!!,30840,68,Python 3,206,2022-04-16 12:35
Silver V,유클리드 호제법/수학/정수론,2609,최대공약수와 최소공배수,Silver V,런타임 에러 (IndexError),,,Python 3,546,2022-04-16 12:35
Silver IV,자료 구조/큐,1158,요세푸스 문제,UNRANK,틀렸습니다,,,C99,2858,2022-04-16 12:35
Bronze V,구현,10171,고양이,UNRANK,맞았습니다!!,9264,128,node.js,50,2022-04-16 12:35
Bronze II,구현/문자열,2675,문자열 반복,UNRANK,맞았습니다!!,30840,64,Python 3,114,2022-04-16 12:35
Bronze IV,구현,9498,시험 성적,Gold V,맞았습니다!!,9332,120,node.js,153,2022-04-16 12:34
Bronze I,구현/문자열,1157,단어 공부,UNRANK,틀렸습니다,,,C++17,636,2022-04-16 12:34
Bronze II,구현/수학,10870,피보나치 수 5,UNRANK,맞았습니다!!,30840,72,Python 3,200,2022-04-16 12:34
Silver III,자료 구조/스택,1874,스택 수열,Silver I,맞았습니다!!,35744,2012,Python 3,354,2022-04-16 12:34
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,Python 3,62,2022-04-16 12:34
Bronze IV,구현,9498,시험 성적,UNRANK,틀렸습니다,,,Python 3,153,2022-04-16 12:34
Bronze III,구현/수학,9610,사분면,UNRANK,틀렸습니다,,,Python 3,416,2022-04-16 12:34
Bronze IV,구현,9498,시험 성적,UNRANK,맞았습니다!!,30840,68,Python 3,160,2022-04-16 12:34
Silver I,조합론/다이나믹 프로그래밍/수학,11051,이항 계수 2,Gold III,맞았습니다!!,30840,68,Python 3,150,2022-04-16 12:34
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/구현/수학,10757,큰 수 A+B,Diamond V,맞았습니다!!,30840,76,Python 3,45,2022-04-16 12:34
Bronze I,다이나믹 프로그래밍/그리디 알고리즘/수학,2839,설탕 배달,Bronze IV,틀렸습니다,,,Python 3,230,2022-04-16 12:34
Bronze III,사칙연산/수학,2884,알람 시계,Bronze IV,맞았습니다!!,1112,0,C++17,260,2022-04-16 12:34
Bronze IV,구현/수학,2753,윤년,Silver V,맞았습니다!!,30840,68,Python 3,206,2022-04-16 12:34
Silver I,분할 정복/재귀,1074,Z,Gold IV,맞았습니다!!,113248,104,PyPy3,777,2022-04-16 12:34
Bronze IV,사칙연산/수학,2525,오븐 시계,UNRANK,맞았습니다!!,30840,68,Python 3,138,2022-04-16 12:34
Silver I,두 포인터,20922,겹치는 건 싫어,Platinum V,맞았습니다!!,51592,420,Kotlin (JVM),591,2022-04-16 12:34
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver III,틀렸습니다,,,Python 3,95,2022-04-16 12:34
Bronze V,구현,10171,고양이,UNRANK,틀렸습니다,,,node.js,49,2022-04-16 12:34
Diamond IV,해싱,15492,뒤집기,Diamond V,틀렸습니다,,,C++17,1199,2022-04-16 12:34
Gold IV,플로이드–와샬/그래프 이론,1956,운동,Gold IV,틀렸습니다,,,PyPy3,620,2022-04-16 12:34
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,런타임 에러 (ValueError),,,Python 3,120,2022-04-16 12:34
Silver III,브루트포스 알고리즘/수학/정수론,4375,1,UNRANK,틀렸습니다,,,Python 3,110,2022-04-16 12:34
Gold IV,백트래킹/비트마스킹/브루트포스 알고리즘,1062,가르침,Gold III,맞았습니다!!,2024,148,C++17,1178,2022-04-16 12:34
Bronze III,구현,10824,네 수,UNRANK,틀렸습니다,,,Java 11,663,2022-04-16 12:33
Gold IV,자료 구조/그리디 알고리즘/우선순위 큐,1715,카드 정렬하기,Gold III,맞았습니다!!,119172,332,PyPy3,230,2022-04-16 12:33
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,맞았습니다!!,30840,72,Python 3,133,2022-04-16 12:33
Bronze III,구현,2741,N 찍기,Silver V,맞았습니다!!,2020,16,C++17,152,2022-04-16 12:33
Bronze I,사칙연산/수학,4344,평균은 넘겠지,Gold V,틀렸습니다,,,C++17,686,2022-04-16 12:33
Bronze V,구현,2557,Hello World,UNRANK,맞았습니다!!,30840,64,Python 3,21,2022-04-16 12:33
Gold V,이분 탐색/정렬/두 포인터,2470,두 용액,Gold III,틀렸습니다,,,Python 3,441,2022-04-16 12:33
Bronze I,구현/정렬,11557,Yangjojang of The Year,Diamond V,맞았습니다!!,30840,64,Python 3,229,2022-04-16 12:33
Silver IV,자료 구조/스택/문자열,9012,괄호,UNRANK,맞았습니다!!,17904,248,Java 11,840,2022-04-16 12:33
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Python 3,19,2022-04-16 12:33
Bronze II,구현,10801,카드게임,Bronze I,맞았습니다!!,2020,0,C++17,601,2022-04-16 12:33
Gold V,다익스트라/그래프 이론,1753,최단경로,UNRANK,맞았습니다!!,72036,864,Python 3,808,2022-04-16 12:33
Bronze I,구현/정렬,11557,Yangjojang of The Year,Diamond V,런타임 에러 (TypeError),,,Python 3,227,2022-04-16 12:33
Silver V,브루트포스 알고리즘/중국인의 나머지 정리/수학/정수론,1476,날짜 계산,Gold II,맞았습니다!!,2020,0,C++17,633,2022-04-16 12:33
Silver IV,자료 구조/큐,1158,요세푸스 문제,UNRANK,틀렸습니다,,,C99,2848,2022-04-16 12:33
Platinum II,이분 탐색/자료 구조/가장 긴 증가하는 부분 수열: O(n log n)/세그먼트 트리,17411,가장 긴 증가하는 부분 수열 6,Ruby V,맞았습니다!!,26216,740,C++17,1007,2022-04-16 12:33
Bronze I,구현/문자열,1157,단어 공부,UNRANK,틀렸습니다,,,C++17,681,2022-04-16 12:33
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,1697,숨바꼭질,Gold III,맞았습니다!!,2384,0,C++17,920,2022-04-16 12:33
Bronze I,수학,2869,달팽이는 올라가고 싶다,Bronze I,맞았습니다!!,113112,108,PyPy3,121,2022-04-16 12:33
Bronze I,사칙연산/수학,4344,평균은 넘겠지,Gold V,틀렸습니다,,,C++17,686,2022-04-16 12:33
Silver III,다이나믹 프로그래밍,2579,계단 오르기,Silver I,틀렸습니다,,,Python 3,448,2022-04-16 12:33
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,C++17,21,2022-04-16 12:33
Bronze III,기하학/수학,1085,직사각형에서 탈출,Silver IV,맞았습니다!!,30840,68,Python 3,180,2022-04-16 12:33
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,Gold II,맞았습니다!!,2156,4,C++17,1313,2022-04-16 12:33
Bronze V,사칙연산/구현/수학,10430,나머지,UNRANK,컴파일 에러,,,Java 8,425,2022-04-16 12:33
Bronze I,사칙연산/수학,4344,평균은 넘겠지,Gold V,컴파일 에러,,,C++17,693,2022-04-16 12:33
Bronze V,구현,10171,고양이,UNRANK,출력 형식이 잘못되었습니다,,,Java 11,197,2022-04-16 12:33
Gold IV,수학/누적 합,17943,도미노 예측,Gold I,틀렸습니다,,,C++17,966,2022-04-16 12:33
Silver III,자료 구조/스택,1874,스택 수열,Silver I,맞았습니다!!,35744,5808,Python 3,329,2022-04-16 12:33
Gold IV,자료 구조/스택,17298,오큰수,Silver I,틀렸습니다,,,C++17,777,2022-04-16 12:33
Bronze III,구현/수학,9610,사분면,UNRANK,틀렸습니다,,,Python 3,376,2022-04-16 12:33
Gold V,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색,2589,보물섬,Gold III,맞았습니다!!,121728,1260,PyPy3,925,2022-04-16 12:33
Bronze III,구현/수학,8393,합,Silver V,맞았습니다!!,2020,0,C++17,169,2022-04-16 12:33
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver III,틀렸습니다,,,Python 3,62,2022-04-16 12:33
Gold V,구현/시뮬레이션,14503,로봇 청소기,Gold II,맞았습니다!!,30840,68,Python 3,725,2022-04-16 12:33
Bronze III,구현,2742,기찍 N,UNRANK,맞았습니다!!,30840,116,Python 3,73,2022-04-16 12:33
Silver V,브루트포스 알고리즘/중국인의 나머지 정리/수학/정수론,1476,날짜 계산,Gold II,메모리 초과,,,node.js,357,2022-04-16 12:33
Silver V,정렬,10814,나이순 정렬,Gold IV,맞았습니다!!,9848,64,C++17,565,2022-04-16 12:33
Silver V,브루트포스 알고리즘/구현/수학,4673,셀프 넘버,UNRANK,맞았습니다!!,30840,608,Python 3,1556,2022-04-16 12:33
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,C++17,21,2022-04-16 12:33
Silver V,조합론/다이나믹 프로그래밍/수학,1010,다리 놓기,Silver V,틀렸습니다,,,C++17,391,2022-04-16 12:32
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,런타임 에러 (ValueError),,,Python 3,102,2022-04-16 12:32
Bronze II,문자열,5524,입실 관리,UNRANK,100점,2024,4,C++17,362,2022-04-16 12:32
Gold IV,백트래킹/브루트포스 알고리즘/구현,15684,사다리 조작,UNRANK,시간 초과,,,Python 3,2514,2022-04-16 12:32
Bronze V,구현,10171,고양이,UNRANK,맞았습니다!!,13900,124,Java 11,203,2022-04-16 12:32
Gold II,구현/시뮬레이션,17837,새로운 게임 2,UNRANK,틀렸습니다,,,C++17,5397,2022-04-16 12:32
Gold IV,자료 구조/분리 집합,1717,집합의 표현,Gold I,맞았습니다!!,6324,36,C++17,962,2022-04-16 12:32
Bronze V,구현,11654,아스키 코드,Silver V,맞았습니다!!,2020,0,C++17,157,2022-04-16 12:32
Gold V,구현/시뮬레이션,14503,로봇 청소기,Gold II,맞았습니다!!,114328,112,PyPy3,725,2022-04-16 12:32
Diamond IV,해싱,15492,뒤집기,Platinum II,틀렸습니다,,,Java 8,4269,2022-04-16 12:32
Bronze IV,임의 정밀도 / 큰 수 연산/구현/수학,5893,17배,Platinum V,맞았습니다!!,118300,160,PyPy3,336,2022-04-16 12:32
Silver V,사칙연산/그리디 알고리즘/수학,13170,떨어진 수정,Ruby V,맞았습니다!!,2020,0,C++17,692,2022-04-16 12:32
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,Python 3,54,2022-04-16 12:32
Bronze III,구현/수학,8393,합,Silver V,틀렸습니다,,,C++17,154,2022-04-16 12:32
Gold IV,애드 혹/구성적,24727,인지융~,Platinum IV,맞았습니다!! (11/100),30840,64,Python 3,915,2022-04-16 12:32
Bronze I,수학,2869,달팽이는 올라가고 싶다,Bronze I,런타임 에러 (NameError),,,PyPy3,105,2022-04-16 12:32
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,UNRANK,맞았습니다!!,30840,68,Python 3,132,2022-04-16 12:32
Silver V,수학/정수론/소수 판정,2581,소수,Silver II,틀렸습니다,,,Python 3,382,2022-04-16 12:32
Bronze V,사칙연산/구현/수학,2558,A+B - 2,Bronze III,맞았습니다!!,2020,0,C++17,107,2022-04-16 12:32
Gold IV,다이나믹 프로그래밍,2281,데스노트,Gold III,시간 초과,,,PyPy3,525,2022-04-16 12:32
Bronze V,구현,10171,고양이,UNRANK,출력 형식이 잘못되었습니다,,,Java 11,196,2022-04-16 12:31
Gold V,이분 탐색/정렬/두 포인터,2470,두 용액,Gold III,맞았습니다!!,127468,156,PyPy3,356,2022-04-16 12:31
Silver V,브루트포스 알고리즘/중국인의 나머지 정리/수학/정수론,1476,날짜 계산,Gold II,메모리 초과,,,node.js,484,2022-04-16 12:31
Bronze I,구현/수학,2775,부녀회장이 될테야,Bronze I,맞았습니다!!,115676,148,PyPy3,354,2022-04-16 12:31
Gold IV,다이나믹 프로그래밍,2281,데스노트,Gold III,시간 초과,,,Python 3,525,2022-04-16 12:31
Bronze III,구현/수학,8393,합,Silver V,컴파일 에러,,,C++17,153,2022-04-16 12:31
Silver V,브루트포스 알고리즘/구현/수학,4673,셀프 넘버,UNRANK,틀렸습니다,,,Python 3,1540,2022-04-16 12:31
Silver V,구현/수학/정수론,11576,Base Conversion,Gold I,맞았습니다!!,2020,0,C++17,456,2022-04-16 12:31
